======================================================================
 harness:  cp_harness/dataset_livecodebench
[12/446] beautifulSubstrings_b6cfd9/sol_0: 25/25
[13/446] buyChoco_1776d2/sol_0: 25/25
[14/446] buyChoco_b56354/sol_0: 25/25
[15/446] buyChoco_69e1d8/sol_0: 25/25
[16/446] beautifulSubstrings_ff2536/sol_0: 25/25
[17/446] buyChoco_b37ff3/sol_0: 25/25
[18/446] buyChoco_a413cb/sol_0: 25/25
[19/446] buyChoco_ec9c98/sol_0: 25/25
[20/446] canBeEqual_a634b9/sol_0: 25/25
[21/446] canBeEqual_22abe1/sol_0: 25/25
[22/446] canBeEqual_bde70a/sol_0: 25/25
[23/446] canBeEqual_18586e/sol_0: 25/25
[24/446] canBeEqual_1b3ebd/sol_0: 25/25
[25/446] canMakeSubsequence_27d22b/sol_0: 25/25
[26/446] canMakeSubsequence_40ee64/sol_0: 25/25
[27/446] canMakeSubsequence_08f0fe/sol_0: 25/25
[28/446] canBeEqual_f74731/sol_0: 20/20
[29/446] canMakeSubsequence_6e786c/sol_0: 25/25
[30/446] canMakeSubsequence_4b18a6/sol_0: 25/25
[31/446] canSplitArray_03e5cb/sol_0: 25/25
[32/446] canSplitArray_56d96f/sol_0: 26/26
[33/446] canSplitArray_1bb9cb/sol_0: 25/25
[34/446] canSplitArray_f7917a/sol_0: 25/25
[35/446] checkArray_0421ae/sol_0: 25/25
[36/446] canSplitArray_8f5a94/sol_0: 25/25
[37/446] checkArray_0c4249/sol_0: 25/25
[38/446] checkArray_5cb59a/sol_0: 25/25
[39/446] checkArray_20db2b/sol_0: 16/16
[40/446] checkArray_73971f/sol_0: 25/25
[41/446] checkArray_61d5de/sol_0: 25/25
[42/446] colorTheArray_10c1ee/sol_0: 13/13
[43/446] colorTheArray_c9362c/sol_0: 13/13
[44/446] colorTheArray_88d04f/sol_0: 13/13
[45/446] colorTheArray_f30095/sol_0: 10/10
[46/446] colorTheArray_f8935c/sol_0: 10/10
[47/446] continuousSubarrays_899815/sol_0: 25/25
[48/446] colorTheArray_a7fbbe/sol_0: 13/13
[49/446] continuousSubarrays_c94d30/sol_0: 25/25
[50/446] countBeautifulPairs_3b57d9/sol_0: 19/19
[51/446] countBeautifulPairs_19b17d/sol_0: 19/19
[52/446] countBeautifulPairs_22ce06/sol_0: 8/8
[53/446] continuousSubarrays_f713f6/sol_0: 25/25
[54/446] continuousSubarrays_c98d6c/sol_0: 25/25
[55/446] countCompleteSubarrays_09c3ef/sol_0: 25/25
[56/446] countCompleteSubarrays_885a04/sol_0: 25/25
[57/446] countBeautifulPairs_e6be0e/sol_0: 18/18
[58/446] countBeautifulPairs_d81f98/sol_0: 19/19
[59/446] countCompleteSubarrays_4d56ca/sol_0: 25/25
[60/446] countBeautifulPairs_3e2943/sol_0: 19/19
[61/446] countCompleteSubarrays_e3c7ed/sol_0: 25/25
[62/446] countInterestingSubarrays_2ad7e4/sol_0: 25/25
[63/446] countInterestingSubarrays_5511e8/sol_0: 25/25
[64/446] countCompleteSubarrays_b45a4d/sol_0: 25/25
[65/446] countCompleteSubarrays_88a0dd/sol_0: 25/25
[66/446] countInterestingSubarrays_5cf126/sol_0: 25/25
[67/446] countPairs_1ba388/sol_0: 11/11
[68/446] countPairs_66bef6/sol_0: 25/25
[69/446] countInterestingSubarrays_9af8bd/sol_0: 25/25
[70/446] countInterestingSubarrays_c42e7e/sol_0: 25/25
[71/446] countPairs_85df6c/sol_0: 11/11
[72/446] countPairs_85a82e/sol_0: 25/25
[73/446] countPairs_8aeecf/sol_0: 25/25
[74/446] countSeniors_167537/sol_0: 7/7
[75/446] countSeniors_54ff3e/sol_0: 13/13
[76/446] countPairs_b0b03c/sol_0: 25/25
[77/446] countPairs_d18f77/sol_0: 25/25
[78/446] countPairs_90e544/sol_0: 25/25
[79/446] countWays_64d8a3/sol_0: 25/25
[80/446] countSeniors_63beb5/sol_0: 21/21
[81/446] countSeniors_acb6be/sol_0: 7/7
[82/446] countWays_8784ed/sol_0: 25/25
[83/446] countSeniors_645a4b/sol_0: 7/7
[84/446] countSeniors_789bc6/sol_0: 7/7
[85/446] countWays_902803/sol_0: 25/25
[86/446] differenceOfSums_158faf/sol_0: 25/25
[87/446] countWays_f3f2b3/sol_0: 25/25
[88/446] countWays_d883ba/sol_0: 25/25
[89/446] countWays_ac7cfb/sol_0: 25/25
[90/446] differenceOfSums_791ae9/sol_0: 25/25
[91/446] distanceTraveled_0e5d9f/sol_0: 25/25
[92/446] distanceTraveled_98ba0d/sol_0: 25/25
[93/446] distanceTraveled_282507/sol_0: 25/25
[94/446] distanceTraveled_cb63e5/sol_0: 25/25
[95/446] differenceOfSums_b51db8/sol_0: 25/25
[96/446] distanceTraveled_ccf48c/sol_0: 25/25
[97/446] distinctDifferenceArray_5da79d/sol_0: 25/25
[98/446] distinctDifferenceArray_f8d446/sol_0: 25/25
[99/446] distinctDifferenceArray_9650a2/sol_0: 25/25
[100/446] distinctDifferenceArray_904812/sol_0: 25/25
[101/446] distinctDifferenceArray_10ec60/sol_0: 25/25
[102/446] distanceTraveled_d9d36c/sol_0: 25/25
[103/446] distributeCandies_31aeb0/sol_0: 25/25
[104/446] distributeCandies_a236c7/sol_0: 25/25
[105/446] distributeCandies_8d274f/sol_0: 25/25
[106/446] distributeCandies_44f460/sol_0: 25/25
[107/446] distributeCandies_f9c6be/sol_0: 25/25
[108/446] distributeCandies_9e0c3a/sol_0: 25/25
[109/446] doesValidArrayExist_956d60/sol_0: 25/25
[110/446] doesValidArrayExist_9371ef/sol_0: 24/24
[111/446] doesValidArrayExist_46c2ea/sol_0: 25/25
[112/446] doesValidArrayExist_da91d7/sol_0: 25/25
[113/446] doesValidArrayExist_75233a/sol_0: 25/25
[114/446] doesValidArrayExist_ba1a0b/sol_0: 25/25
[115/446] finalString_4ecd27/sol_0: 25/25
[116/446] finalString_8af8e8/sol_0: 25/25
[117/446] finalString_7bd00b/sol_0: 25/25
[118/446] finalString_0ce303/sol_0: 25/25
[119/446] finalString_70c2f4/sol_0: 25/25
[120/446] finalString_17f411/sol_0: 25/25
[121/446] findChampion_8b50f4/sol_0: 19/19
[122/446] findChampion_66d60c/sol_0: 5/5
[123/446] findChampion_ed47eb/sol_0: 25/25
[124/446] findChampion_47bc71/sol_0: 2/2
[125/446] findChampion_c9dbbc/sol_0: 1/1
[126/446] findChampion_6da5fa/sol_0: 17/17
[127/446] findMinimumOperations_9f642c/sol_0: 25/25
[128/446] findMinimumOperations_1a08e1/sol_0: 25/25
[129/446] findMinimumOperations_cf9e3e/sol_0: 25/25
[130/446] findMinimumOperations_2a647f/sol_0: 25/25
[131/446] findMinimumOperations_bf6674/sol_0: 25/25
[132/446] findMinimumOperations_2c658f/sol_0: 25/25
[133/446] findValueOfPartition_0e5e2c/sol_0: 25/25
[134/446] findValueOfPartition_c1d40d/sol_0: 25/25
[135/446] findWordsContaining_5cb2b2/sol_0: 0/25 [compile_fail]
[136/446] findValueOfPartition_cdeabc/sol_0: 25/25
[137/446] findValueOfPartition_ef48b7/sol_0: 25/25
[138/446] findValueOfPartition_bd628f/sol_0: 25/25
[139/446] findValueOfPartition_137e7c/sol_0: 25/25
[140/446] findWordsContaining_bae660/sol_0: 25/25
[141/446] furthestDistanceFromOrigin_2a3cf3/sol_0: 25/25
[142/446] findWordsContaining_9747ce/sol_0: 25/25
[143/446] findWordsContaining_22bbab/sol_0: 25/25
[144/446] furthestDistanceFromOrigin_6a2f08/sol_0: 11/11
[145/446] findWordsContaining_a8ed84/sol_0: 26/26
[146/446] isAcronym_2e8b12/sol_0: 25/25
[147/446] furthestDistanceFromOrigin_ff1f9f/sol_0: 11/11
[148/446] furthestDistanceFromOrigin_cdc63e/sol_0: 25/25
[149/446] furthestDistanceFromOrigin_914868/sol_0: 25/25
[150/446] isAcronym_1677a2/sol_0: 25/25
[151/446] furthestDistanceFromOrigin_95983c/sol_0: 11/11
[152/446] isAcronym_824daa/sol_0: 25/25
[153/446] isFascinating_654633/sol_0: 25/25
[154/446] isAcronym_4da9cf/sol_0: 25/25
[155/446] isAcronym_a08ed3/sol_0: 25/25
[156/446] isAcronym_f8d53b/sol_0: 25/25
[157/446] isFascinating_1fae3c/sol_0: 25/25
[158/446] isGood_9f610c/sol_0: 25/25
[159/446] isGood_090c47/sol_0: 25/25
[160/446] isFascinating_68a367/sol_0: 25/25
[161/446] isGood_4389d2/sol_0: 25/25
[162/446] isGood_e60e93/sol_0: 25/25
[163/446] isGood_a3dd47/sol_0: 25/25
[164/446] lastVisitedIntegers_82e666/sol_0: 15/15
[165/446] lastVisitedIntegers_c89fa7/sol_0: 15/15
[166/446] lastVisitedIntegers_a8e14b/sol_0: 15/15
[167/446] isGood_f46fd2/sol_0: 25/25
[168/446] lastVisitedIntegers_14d048/sol_0: 15/15
[169/446] lastVisitedIntegers_4f2d90/sol_0: 15/15
[170/446] lengthOfLongestSubsequence_bc17e7/sol_0: 7/7
[171/446] lastVisitedIntegers_ff93b6/sol_0: 15/15
[172/446] lengthOfLongestSubsequence_9a8eb5/sol_0: 7/7
[173/446] lengthOfLongestSubsequence_9c6938/sol_0: 25/25
[174/446] lengthOfLongestSubsequence_aa08f5/sol_0: 7/7
[175/446] lengthOfLongestSubsequence_9445cc/sol_0: 25/25
[176/446] lengthOfLongestSubsequence_bca3a5/sol_0: 7/7
[177/446] lexicographicallySmallestArray_08ebd5/sol_0: 25/25
[178/446] longestAlternatingSubarray_ed28f0/sol_0: 25/25
[179/446] longestAlternatingSubarray_58379b/sol_0: 25/25
[180/446] longestAlternatingSubarray_71a505/sol_0: 25/25
[181/446] longestAlternatingSubarray_92cb2b/sol_0: 25/25
[182/446] longestEqualSubarray_67dd09/sol_0: 25/25
[183/446] longestAlternatingSubarray_f49605/sol_0: 25/25
[184/446] longestAlternatingSubarray_f33a44/sol_0: 25/25
[185/446] longestEqualSubarray_de84a4/sol_0: 25/25
[186/446] longestEqualSubarray_386350/sol_0: 19/19
[187/446] longestEqualSubarray_a493b6/sol_0: 25/25
[188/446] longestSemiRepetitiveSubstring_598f21/sol_0: 25/25
[189/446] longestSemiRepetitiveSubstring_142189/sol_0: 25/25
[190/446] longestSemiRepetitiveSubstring_87939d/sol_0: 25/25
[191/446] longestSemiRepetitiveSubstring_a54d00/sol_0: 25/25
[192/446] longestEqualSubarray_fbbe63/sol_0: 25/25
[193/446] longestSemiRepetitiveSubstring_3d4f19/sol_0: 25/25
[194/446] makeSmallestPalindrome_0ce500/sol_0: 25/25
[195/446] longestString_835c1f/sol_0: 25/25
[196/446] longestString_cec6c5/sol_0: 25/25
[197/446] makeSmallestPalindrome_1dea3c/sol_0: 25/25
[198/446] longestSemiRepetitiveSubstring_c34e05/sol_0: 25/25
[199/446] longestString_317dbb/sol_0: 25/25
[200/446] makeSmallestPalindrome_a6bb74/sol_0: 25/25
[201/446] makeTheIntegerZero_15c2c0/sol_0: 25/25
[202/446] makeSmallestPalindrome_4aef93/sol_0: 25/25
[203/446] makeTheIntegerZero_5e5632/sol_0: 25/25
[204/446] makeSmallestPalindrome_9ea827/sol_0: 25/25
[205/446] makeSmallestPalindrome_c30d79/sol_0: 25/25
[206/446] makeTheIntegerZero_c5f8a6/sol_0: 25/25
[207/446] matrixSum_3f5244/sol_0: 25/25
[208/446] makeTheIntegerZero_61a32e/sol_0: 25/25
[209/446] makeTheIntegerZero_995de5/sol_0: 25/25
[210/446] makeTheIntegerZero_d432b9/sol_0: 25/25
[211/446] matrixSum_11da7c/sol_0: 25/25
[212/446] matrixSum_5fa873/sol_0: 25/25
[213/446] matrixSum_52edb0/sol_0: 25/25
[214/446] matrixSum_dfd7bf/sol_0: 25/25
[215/446] matrixSum_5c74ae/sol_0: 25/25
[216/446] maxIncreasingGroups_35cacb/sol_0: 25/25
[217/446] maxIncreasingGroups_5008d1/sol_0: 25/25
[218/446] maxIncreasingGroups_bc5dec/sol_0: 25/25
[219/446] maxIncreasingGroups_642bf1/sol_0: 25/25
[220/446] maxStrength_04679e/sol_0: 25/25
[221/446] maxIncreasingGroups_60e48c/sol_0: 12/12
[222/446] maxNonDecreasingLength_2f6b0b/sol_0: 25/25
[223/446] maxNonDecreasingLength_0bf0d1/sol_0: 25/25
[224/446] maxStrength_12ceac/sol_0: 25/25
[225/446] maxSubarrays_87e2a8/sol_0: 25/25
[226/446] maxSubarrays_36c8d0/sol_0: 25/25
[227/446] maxSubarrays_b0f1b9/sol_0: 25/25
[228/446] maxSubarrays_4c904b/sol_0: 25/25
[229/446] maxSubarrays_ab4743/sol_0: 25/25
[230/446] maxSum_75e8bc/sol_0: 22/22
[231/446] maxSum_7b0b28/sol_0: 25/25
[232/446] maxSum_261ab3/sol_0: 25/25
[233/446] maxSum_5e1817/sol_0: 10/10
[234/446] maxSum_3f17a3/sol_0: 25/25
[235/446] maxSum_15f1f1/sol_0: 25/25
[236/446] maxSum_aef3dd/sol_0: 25/25
[237/446] maxSum_eb2f59/sol_0: 25/25
[238/446] maxSum_b2a9bc/sol_0: 25/25
[239/446] maxSum_9f51f9/sol_0: 8/8
[240/446] maxSum_953492/sol_0: 22/22
[241/446] maxSum_c0d5c1/sol_0: 25/25
[242/446] maximizeTheProfit_f700a1/sol_0: 11/11
[243/446] maximizeTheProfit_8395cc/sol_0: 10/10
[244/446] maximizeTheProfit_7834e4/sol_0: 16/16
[245/446] maximumBeauty_2e7071/sol_0: 25/25
[246/446] maximizeTheProfit_4d1d43/sol_0: 6/6
[247/446] maximizeTheProfit_ea510f/sol_0: 6/6
[248/446] maximumBeauty_37c2cf/sol_0: 25/25
[249/446] maximumBeauty_f2bd91/sol_0: 25/25
[250/446] maximumBeauty_f7ec87/sol_0: 25/25
[251/446] maximumJumps_2b3626/sol_0: 25/25
[252/446] maximumBeauty_43d94e/sol_0: 25/25
[253/446] maximumBeauty_fbb860/sol_0: 25/25
[254/446] maximumJumps_5ed7e2/sol_0: 25/25
[255/446] maximumJumps_457f45/sol_0: 25/25
[256/446] maximumJumps_e988d8/sol_0: 25/25
[257/446] maximumJumps_bde522/sol_0: 25/25
[258/446] maximumNumberOfStringPairs_346127/sol_0: 25/25
[259/446] maximumJumps_9c4820/sol_0: 25/25
[260/446] maximumNumberOfStringPairs_ddea45/sol_0: 25/25
[261/446] maximumNumberOfStringPairs_6cf1d5/sol_0: 25/25
[262/446] maximumNumberOfStringPairs_583060/sol_0: 25/25
[263/446] maximumOddBinaryNumber_0087fc/sol_0: 25/25
[264/446] maximumOddBinaryNumber_12cf00/sol_0: 25/25
[265/446] maximumNumberOfStringPairs_d5cf2e/sol_0: 25/25
[266/446] maximumOddBinaryNumber_fb1216/sol_0: 25/25
[267/446] maximumTripletValue_2933ae/sol_0: 25/25
[268/446] maximumTripletValue_54862b/sol_0: 25/25
[269/446] maximumOddBinaryNumber_4e2f0f/sol_0: 25/25
[270/446] maximumOddBinaryNumber_a1b30c/sol_0: 25/25
[271/446] maximumOddBinaryNumber_539e99/sol_0: 25/25
[272/446] minChanges_254d8c/sol_0: 5/5
[273/446] maximumTripletValue_7dafc8/sol_0: 25/25
[274/446] maximumTripletValue_c28dfa/sol_0: 25/25
[275/446] maximumTripletValue_6fd43a/sol_0: 25/25
[276/446] minChanges_3bc303/sol_0: 24/24
[277/446] minChanges_39e1ad/sol_0: 24/24
[278/446] minGroupsForValidAssignment_4f9fe7/sol_0: 25/25
[279/446] minGroupsForValidAssignment_ad71ae/sol_0: 0/25 [compile_fail]
[280/446] minChanges_bc7505/sol_0: 24/24
[281/446] minCost_32d0f4/sol_0: 25/25
[282/446] minChanges_4bd90c/sol_0: 18/18
[283/446] minGroupsForValidAssignment_9c5d26/sol_0: 25/25
[284/446] minChanges_d61786/sol_0: 25/25
[285/446] minGroupsForValidAssignment_e66aa8/sol_0: 25/25
[286/446] minLengthAfterRemovals_a7a6cc/sol_0: 25/25
[287/446] minLengthAfterRemovals_aea902/sol_0: 25/25
[288/446] minLengthAfterRemovals_528b97/sol_0: 25/25
[289/446] minLengthAfterRemovals_81d1f8/sol_0: 25/25
[290/446] minLengthAfterRemovals_d02c11/sol_0: 25/25
[291/446] minLength_2250cc/sol_0: 25/25
[292/446] minLength_4f535a/sol_0: 25/25
[293/446] minLengthAfterRemovals_d54468/sol_0: 25/25
[294/446] minLength_1acdcf/sol_0: 26/26
[295/446] minLength_07f219/sol_0: 25/25
[296/446] minLength_1f3772/sol_0: 25/25
[297/446] minOperations_70f740/sol_0: 25/25
[298/446] minOperations_336025/sol_0: 4/4
[299/446] minOperations_375bd4/sol_0: 25/25
[300/446] minOperations_23ce01/sol_0: 4/4
[301/446] minOperations_33c442/sol_0: 25/25
[302/446] minOperations_37f28a/sol_0: 25/25
[303/446] minOperations_df055a/sol_0: 4/4
[304/446] minOperations_ef2e9f/sol_0: 1/1
[305/446] minOperations_df96de/sol_0: 25/25
[306/446] minOperations_ed1e5d/sol_0: 11/11
[307/446] minOperations_7d6f58/sol_0: 25/25
[308/446] minOperations_f39e90/sol_0: 3/3
[309/446] minOperations_f3c8fa/sol_0: 25/25
[310/446] minOperations_fe9ca0/sol_0: 25/25
[311/446] minOperations_f81d3d/sol_0: 25/25
[312/446] minSum_47570f/sol_0: 25/25
[313/446] minSum_1ab6f2/sol_0: 25/25
[314/446] minSum_44704a/sol_0: 25/25
[315/446] minimizeConcatenatedLength_6f3d72/sol_0: 25/25
[316/446] minimizeConcatenatedLength_627d92/sol_0: 25/25
[317/446] minSum_f908a7/sol_0: 25/25
[318/446] minSum_c11ba9/sol_0: 25/25
[319/446] minimizedStringLength_eb0bab/sol_0: 25/25
[320/446] minimizeConcatenatedLength_bd58eb/sol_0: 25/25
[321/446] minimumCoins_55cb53/sol_0: 25/25
[322/446] minimumBeautifulSubstrings_e8e3d4/sol_0: 5/5
[323/446] minimumBeautifulSubstrings_e62389/sol_0: 5/5
[324/446] minimumCoins_5b1ce1/sol_0: 25/25
[325/446] minimumCoins_e8022d/sol_0: 25/25
[326/446] minimumCoins_4563ba/sol_0: 25/25
[327/446] minimumCost_b17559/sol_0: 25/25
[328/446] minimumIndex_5ae6e8/sol_0: 0/1 [compile_fail]
[329/446] minimumCost_aec190/sol_0: 25/25
[330/446] minimumCost_c92108/sol_0: 25/25
[331/446] minimumCost_5857bf/sol_0: 25/25
[332/446] minimumCost_133158/sol_0: 25/25
[333/446] minimumCost_452dc9/sol_0: 25/25
[334/446] minimumIndex_b95e50/sol_0: 25/25
[335/446] minimumIndex_8931be/sol_0: 25/25
[336/446] minimumIndex_c04033/sol_0: 11/11
[337/446] minimumOperations_25593f/sol_0: 25/25
[338/446] minimumIndex_84ec6b/sol_0: 25/25
[339/446] minimumIndex_6c51c6/sol_0: 25/25
[340/446] minimumOperations_5807d2/sol_0: 24/24
[341/446] minimumPossibleSum_35db1b/sol_0: 25/25
[342/446] minimumOperations_6eec82/sol_0: 24/24
[343/446] minimumOperations_cbf95f/sol_0: 24/24
[344/446] minimumOperations_ce5c69/sol_0: 24/24
[345/446] minimumOperations_31c202/sol_0: 24/24
[346/446] minimumRightShifts_68bc11/sol_0: 25/25
[347/446] minimumPossibleSum_d95f7a/sol_0: 25/25
[348/446] minimumPossibleSum_72190b/sol_0: 25/25
[349/446] minimumPossibleSum_e67244/sol_0: 25/25
[350/446] minimumPossibleSum_d14df7/sol_0: 25/25
[351/446] minimumRightShifts_f229b2/sol_0: 25/25
[352/446] minimumRightShifts_9aa70d/sol_0: 25/25
[353/446] minimumRightShifts_fe500b/sol_0: 25/25
[354/446] minimumRightShifts_7106b0/sol_0: 25/25
[355/446] minimumRightShifts_69ba4c/sol_0: 25/25
[356/446] minimumSeconds_9dc017/sol_0: 25/25
[357/446] minimumSeconds_02b659/sol_0: 25/25
[358/446] minimumSeconds_672215/sol_0: 25/25
[359/446] minimumSeconds_4e535b/sol_0: 25/25
[360/446] minimumSeconds_75e265/sol_0: 25/25
[361/446] minimumSteps_03a772/sol_0: 25/25
[362/446] minimumSteps_93349d/sol_0: 25/25
[363/446] minimumSteps_567527/sol_0: 25/25
[364/446] minimumSteps_87ab68/sol_0: 25/25
[365/446] minimumSeconds_f94719/sol_0: 25/25
[366/446] minimumSteps_fbc0f4/sol_0: 25/25
[367/446] minimumSum_2ee421/sol_0: 25/25
[368/446] minimumSteps_9692bb/sol_0: 25/25
[369/446] minimumSum_399976/sol_0: 25/25
[370/446] minimumSum_24c3ca/sol_0: 25/25
[371/446] minimumSum_ccbfa3/sol_0: 25/25
[372/446] minimumSum_7ab08d/sol_0: 25/25
[373/446] minimumSum_a6e190/sol_0: 25/25
[374/446] minimumSum_a5d66a/sol_0: 25/25
[375/446] minimumSum_7ba39d/sol_0: 25/25
[376/446] minimumSum_dd7aee/sol_0: 25/25
[377/446] minimumSum_ec8570/sol_0: 25/25
[378/446] numberOfEmployeesWhoMetTarget_26f7d1/sol_0: 25/25
[379/446] numberOfEmployeesWhoMetTarget_58fbe9/sol_0: 25/25
[380/446] numberOfEmployeesWhoMetTarget_7c2067/sol_0: 25/25
[381/446] numberOfEmployeesWhoMetTarget_dd8ca3/sol_0: 25/25
[382/446] numberOfGoodSubarraySplits_9e8ba3/sol_0: 25/25
[383/446] numberOfEmployeesWhoMetTarget_faf55c/sol_0: 25/25
[384/446] numberOfGoodSubarraySplits_5fae18/sol_0: 25/25
[385/446] numberOfEmployeesWhoMetTarget_f83f10/sol_0: 25/25
[386/446] numberOfGoodSubarraySplits_cb15db/sol_0: 25/25
[387/446] numberOfGoodSubarraySplits_af6436/sol_0: 25/25
[388/446] numberOfGoodSubarraySplits_f49803/sol_0: 25/25
[389/446] numberOfGoodSubarraySplits_fe5e2f/sol_0: 25/25
[390/446] numberOfPoints_392594/sol_0: 5/5
[391/446] numberOfPoints_cc4bce/sol_0: 5/5
[392/446] numberOfPoints_b138fa/sol_0: 4/4
[393/446] numberOfPoints_cff13a/sol_0: 4/4
[394/446] relocateMarbles_009213/sol_0: 25/25
[395/446] numberOfPoints_f73538/sol_0: 4/4
[396/446] relocateMarbles_3be9e8/sol_0: 25/25
[397/446] relocateMarbles_151bbe/sol_0: 25/25
[398/446] relocateMarbles_18b487/sol_0: 11/11
[399/446] relocateMarbles_84251f/sol_0: 25/25
[400/446] relocateMarbles_799368/sol_0: 13/13
[401/446] removeTrailingZeros_627f19/sol_0: 25/25
[402/446] removeTrailingZeros_3f7f4a/sol_0: 25/25
[403/446] removeTrailingZeros_4cdf1d/sol_0: 25/25
[404/446] removeTrailingZeros_ef7ca9/sol_0: 25/25
[405/446] removeTrailingZeros_0bcfcf/sol_0: 25/25
[406/446] removeTrailingZeros_fd7c04/sol_0: 25/25
[407/446] semiOrderedPermutation_c0a152/sol_0: 3/3
[408/446] semiOrderedPermutation_4625f1/sol_0: 3/3
[409/446] semiOrderedPermutation_c3ed31/sol_0: 3/3
[410/446] semiOrderedPermutation_a197f0/sol_0: 3/3
[411/446] shortestBeautifulSubstring_cc6e15/sol_0: 25/25
[412/446] shortestBeautifulSubstring_6bfc4e/sol_0: 25/25
[413/446] semiOrderedPermutation_ee4849/sol_0: 3/3
[414/446] semiOrderedPermutation_c43c48/sol_0: 25/25
[415/446] shortestBeautifulSubstring_7e88f6/sol_0: 25/25
[416/446] smallestString_1b561b/sol_0: 25/25
[417/446] shortestBeautifulSubstring_f13c3d/sol_0: 25/25
[418/446] shortestBeautifulSubstring_d3019b/sol_0: 24/25
[419/446] smallestString_57344e/sol_0: 25/25
[420/446] smallestString_00ec14/sol_0: 25/25
[421/446] sortVowels_106f01/sol_0: 25/25
[422/446] sortVowels_42b3e2/sol_0: 25/25
[423/446] sortVowels_0108f5/sol_0: 25/25
[424/446] smallestString_bd4a10/sol_0: 25/25
[425/446] smallestString_da18e1/sol_0: 25/25
[426/446] splitWordsBySeparator_10d609/sol_0: 25/25
[427/446] sortVowels_973fbf/sol_0: 25/25
[428/446] splitWordsBySeparator_32dbb5/sol_0: 25/25
[429/446] splitWordsBySeparator_60a7cf/sol_0: 25/25
[430/446] sortVowels_a6eca1/sol_0: 25/25
[431/446] sumCounts_106060/sol_0: 25/25
[432/446] splitWordsBySeparator_ad0777/sol_0: 25/25
[433/446] splitWordsBySeparator_c944e5/sol_0: 25/25
[434/446] splitWordsBySeparator_b8a826/sol_0: 25/25
[435/446] sumCounts_b582c9/sol_0: 25/25
[436/446] sumCounts_be1ce4/sol_0: 25/25
[437/446] sumIndicesWithKSetBits_107e4b/sol_0: 25/25
[438/446] sumCounts_dc83ae/sol_0: 25/25
[439/446] sumCounts_cfe21d/sol_0: 25/25
[440/446] sumCounts_e313bb/sol_0: 25/25
[441/446] sumIndicesWithKSetBits_bf3807/sol_0: 25/25
[442/446] sumIndicesWithKSetBits_9ebd20/sol_0: 25/25
[443/446] sumIndicesWithKSetBits_34eaf6/sol_0: 25/25
[444/446] sumIndicesWithKSetBits_b2a788/sol_0: 25/25
[445/446] sumIndicesWithKSetBits_fc6852/sol_0: 25/25
[446/446] minimumPossibleSum_e041aa/sol_0: 2/25 [timeout@2/25]

===== Evaluation summary =====
Solutions evaluated: 446
Lean   pass rate: 9951/10033 (99.2%)
Lean-vs-Python divergences: 6 (Lean wrong: 6 = 2 wrong-output + 4 runtime-error/timeout)
    accountBalanceAfterPurchase_c887a8/sol_0  (18/25)
    shortestBeautifulSubstring_d3019b/sol_0  (24/25)
Report written to cp_harness/dataset_livecodebench/eval_report.json

>>> [4/4] Plot coverage by difficulty
476 problem(s) classified across 3 difficulty level(s):
  difficulty  no-compile   partial  all-pass   total
  easy                 4         8       202     214
  medium               8        13       232     253
  hard                 3         0         6       9

Saved chart → cp_harness/dataset_livecodebench/coverage_by_difficulty.png
