problem	theme_or_cluster	reason
minimum-sum-of-mountain-triplets-ii	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-sum-of-squared-difference	CLUSTER-synth	failed to synthesize instance of type class
minimum-time-takes-to-reach-destination-without-drowning	CLUSTER-synth	failed to synthesize instance of type class
minimum-time-to-complete-all-tasks	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-time-to-complete-trips	T7-kwarg-in-spine	Invalid argument name `key` for function `bisect.pyBisectLeft`
minimum-time-to-finish-the-race	CLUSTER-synth	failed to synthesize instance of type class
minimum-time-to-make-array-sum-at-most-x	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-time-to-repair-cars	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-time-to-revert-word-to-initial-state-ii	CLUSTER-flow	Type mismatch
minimum-time-to-visit-a-cell-in-a-grid	CLUSTER-synth	failed to synthesize instance of type class
minimum-time-to-visit-disappearing-nodes	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-total-space-wasted-with-k-resizing-operations	CLUSTER-synth	failed to synthesize instance of type class
minimum-unique-word-abbreviation	CLUSTER-synth	failed to synthesize instance of type class
minimum-weighted-subgraph-with-the-required-paths	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-xor-sum-of-two-arrays	CLUSTER-synth	failed to synthesize instance of type class
missing-number	CLUSTER-synth	failed to synthesize instance of type class
most-frequent-ids	CLUSTER-synth	failed to synthesize instance of type class
most-frequent-prime	CLUSTER-misc	Failed to infer type of binder `i`
most-frequent-subtree-sum	CLUSTER-synth	typeclass instance problem is stuck
most-stones-removed-with-same-row-or-column	REGRESSION	Application type mismatch: The argument
movement-of-robots	CLUSTER-flow	invalid reassignment, value has type
neighboring-bitwise-xor	CLUSTER-synth	failed to synthesize instance of type class
network-delay-time	CLUSTER-appmismatch	Application type mismatch: The argument
next-greater-element-iii	REGRESSION	failed to synthesize instance of type class
non-decreasing-array	CLUSTER-misc	Failed to infer type of binder `b`
non-overlapping-intervals	CLUSTER-appmismatch	Application type mismatch: The argument
nth-magical-number	T7-kwarg-in-spine	Invalid argument name `key` for function
number-of-adjacent-elements-with-the-same-color	REGRESSION	Application type mismatch: The argument
number-of-arithmetic-triplets	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-atoms	CLUSTER-flow	Type mismatch
number-of-beautiful-integers-in-the-range	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-black-blocks	CLUSTER-synth	failed to synthesize instance of type class
number-of-boomerangs	CLUSTER-synth	failed to synthesize instance of type class
number-of-burgers-with-no-waste-of-ingredients	REGRESSION	Application type mismatch: The argument
number-of-corner-rectangles	CLUSTER-synth	failed to synthesize instance of type class
number-of-days-between-two-dates	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-distinct-islands-ii	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-divisible-substrings	CLUSTER-synth	failed to synthesize instance of type class
number-of-flowers-in-full-bloom	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-good-paths	REGRESSION	Type mismatch
number-of-good-ways-to-split-a-string	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-longest-increasing-subsequence	CLUSTER-misc	`ans` cannot be mutated, only variables declared using `let mut` can be mutated. If you did not inte
number-of-nodes-in-the-sub-tree-with-the-same-label	CLUSTER-flow	Invalid match expression: The type of pattern variable 'cnt' contains metavariables:
number-of-pairs-of-interchangeable-rectangles	CLUSTER-synth	failed to synthesize instance of type class
number-of-pairs-satisfying-inequality	CLUSTER-synth	failed to synthesize instance of type class
number-of-possible-sets-of-closing-branches	CLUSTER-synth	failed to synthesize instance of type class
number-of-restricted-paths-from-first-to-last-node	CLUSTER-synth	typeclass instance problem is stuck
number-of-same-end-substrings	REGRESSION	Type mismatch
number-of-unique-flavors-after-sharing-k-candies	CLUSTER-flow	invalid reassignment, value has type
number-of-valid-words-in-a-sentence	CLUSTER-synth	failed to synthesize instance of type class
number-of-ways-to-arrive-at-destination	CLUSTER-synth	failed to synthesize instance of type class
number-of-ways-to-build-sturdy-brick-wall	CLUSTER-synth	failed to synthesize instance of type class
number-of-ways-to-split-a-string	CLUSTER-appmismatch	Application type mismatch: The argument
number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers	CLUSTER-misc	Unknown identifier `Counter`
numbers-with-repeated-digits	CLUSTER-synth	failed to synthesize instance of type class
odd-even-linked-list	CLUSTER-misc	Invalid field `next`: The environment does not contain `Option.next`, so it is not possible to proje
open-the-lock	CLUSTER-flow	mutable variable `s` cannot be shadowed
optimal-account-balancing	CLUSTER-synth	failed to synthesize instance of type class
paint-house-iii	CLUSTER-appmismatch	Application type mismatch: The argument
palindrome-number	CLUSTER-synth	failed to synthesize instance of type class
partition-array-into-disjoint-intervals	CLUSTER-appmismatch	Application type mismatch: The argument
partition-list	CLUSTER-flow	invalid reassignment, value has type
partition-string-into-minimum-beautiful-substrings	CLUSTER-appmismatch	Application type mismatch: The argument
path-with-maximum-probability	CLUSTER-synth	failed to synthesize instance of type class
paths-in-maze-that-lead-to-same-room	CLUSTER-appmismatch	Application type mismatch: The argument
peaks-in-array	CLUSTER-flow	Type mismatch
perfect-rectangle	CLUSTER-synth	failed to synthesize instance of type class
perfect-squares	CLUSTER-synth	failed to synthesize instance of type class
perform-string-shifts	CLUSTER-appmismatch	Application type mismatch: The argument
plates-between-candles	REGRESSION	Application type mismatch: The argument
plus-one-linked-list	CLUSTER-misc	`target.val` cannot be mutated, only variables declared using `let mut` can be mutated. If you did n
pour-water-between-buckets-to-make-water-levels-equal	CLUSTER-flow	invalid reassignment, value has type
prime-in-diagonal	CLUSTER-misc	Failed to infer type of binder `i`
prison-cells-after-n-days	CLUSTER-misc	Unknown identifier `firstDayCells`
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls	CLUSTER-flow	invalid reassignment, value has type
pyramid-transition-matrix	CLUSTER-synth	failed to synthesize instance of type class
queens-that-can-attack-the-king	CLUSTER-appmismatch	Application type mismatch: The argument
query-kth-smallest-trimmed-number	CLUSTER-synth	failed to synthesize instance of type class
queue-reconstruction-by-height	CLUSTER-appmismatch	Application type mismatch: The argument
rank-transform-of-a-matrix	CLUSTER-synth	failed to synthesize instance of type class
reachable-nodes-in-subdivided-graph	CLUSTER-appmismatch	Application type mismatch: The argument
recover-a-tree-from-preorder-traversal	CLUSTER-appmismatch	Application type mismatch: The argument
remove-all-adjacent-duplicates-in-string-ii	CLUSTER-synth	failed to synthesize instance of type class
remove-all-occurrences-of-a-substring	T8-method-optional-args	Function expected at
remove-covered-intervals	CLUSTER-appmismatch	Application type mismatch: The argument
remove-duplicates-from-an-unsorted-linked-list	CLUSTER-synth	failed to synthesize instance of type class
remove-duplicates-from-sorted-list-ii	T7-kwarg-in-spine	Invalid argument name `next` for function `ListNode.new`
remove-linked-list-elements	CLUSTER-misc	Invalid field `val`: The environment does not contain `Option.val`, so it is not possible to project
remove-nodes-from-linked-list	CLUSTER-flow	invalid reassignment, value has type
remove-nth-node-from-end-of-list	T7-kwarg-in-spine	Invalid argument name `next` for function `ListNode.new`
remove-zero-sum-consecutive-nodes-from-linked-list	T7-kwarg-in-spine	Invalid argument name `next` for function `ListNode.new`
reorder-data-in-log-files	T8-method-optional-args	Function expected at
reorder-list	CLUSTER-misc	Invalid field `next`: The environment does not contain `Option.next`, so it is not possible to proje
reorder-routes-to-make-all-paths-lead-to-the-city-zero	CLUSTER-misc	Unknown identifier `b`
reorganize-string	CLUSTER-synth	failed to synthesize instance of type class
repeated-substring-pattern	T8-method-optional-args	Function expected at
replace-all-digits-with-characters	CLUSTER-flow	mutable variable `s` cannot be shadowed
replace-all-s-to-avoid-consecutive-repeating-characters	CLUSTER-flow	mutable variable `s` cannot be shadowed
replace-words	CLUSTER-flow	invalid reassignment, value has type
reverse-linked-list	CLUSTER-synth	failed to synthesize instance of type class
reverse-linked-list-ii	CLUSTER-flow	invalid reassignment, value has type
reverse-nodes-in-even-length-groups	CLUSTER-synth	failed to synthesize instance of type class
reverse-nodes-in-k-group	T7-kwarg-in-spine	Invalid argument name `next` for function `ListNode.new`
reverse-pairs	REGRESSION	Application type mismatch: The argument
reverse-string-ii	CLUSTER-synth	failed to synthesize instance of type class
reward-top-k-students	CLUSTER-appmismatch	Application type mismatch: The argument
rotate-function	CLUSTER-synth	failed to synthesize instance of type class
rotate-list	CLUSTER-misc	Invalid field `next`: The environment does not contain `Option.next`, so it is not possible to proje
russian-doll-envelopes	CLUSTER-appmismatch	Application type mismatch: The argument
satisfiability-of-equality-equations	C1-closure-recursion	Unknown identifier `find`
second-minimum-time-to-reach-destination	CLUSTER-synth	failed to synthesize instance of type class
selling-pieces-of-wood	CLUSTER-appmismatch	Application type mismatch: The argument
sentence-similarity	CLUSTER-appmismatch	Application type mismatch: The argument
sentence-similarity-ii	C1-closure-recursion	Unknown identifier `find`
set-intersection-size-at-least-two	CLUSTER-appmismatch	Application type mismatch: The argument
shifting-letters	CLUSTER-flow	mutable variable `s` cannot be shadowed
shopping-offers	CLUSTER-misc	Failed to infer type of binder `i`
shortest-completing-word	CLUSTER-synth	failed to synthesize instance of type class
shortest-cycle-in-a-graph	CLUSTER-appmismatch	Application type mismatch: The argument
shortest-distance-to-target-color	CLUSTER-synth	failed to synthesize instance of type class
shortest-path-with-alternating-colors	CLUSTER-synth	failed to synthesize instance of type class
shortest-string-that-contains-three-strings	CLUSTER-flow	mutable variable `a` cannot be shadowed
shortest-subarray-to-be-removed-to-make-array-sorted	T7-kwarg-in-spine	Invalid argument name `lo` for function `bisect.pyBisectLeft`
shuffle-string	CLUSTER-synth	failed to synthesize instance of type class
single-number	CLUSTER-synth	failed to synthesize instance of type class
single-number-iii	CLUSTER-synth	failed to synthesize instance of type class
smallest-range-covering-elements-from-k-lists	CLUSTER-synth	failed to synthesize instance of type class
smallest-subtree-with-all-the-deepest-nodes	CLUSTER-synth	failed to synthesize instance of type class
solve-the-equation	CLUSTER-appmismatch	Application type mismatch: The argument
sort-an-array	CLUSTER-misc	Unknown identifier `randint`
sort-characters-by-frequency	CLUSTER-synth	failed to synthesize instance of type class
sorting-the-sentence	CLUSTER-synth	failed to synthesize instance of type class
soup-servings	CLUSTER-appmismatch	Application type mismatch: The argument
special-array-ii	CLUSTER-appmismatch	Application type mismatch: The argument
squirrel-simulation	CLUSTER-appmismatch	Application type mismatch: The argument
statistics-from-a-large-sample	T10-misc-quickwins	overloaded, errors
step-by-step-directions-from-a-binary-tree-node-to-another	CLUSTER-synth	failed to synthesize instance of type class
stone-game-v	T10-misc-quickwins	ambiguous identifier ``max`, possible interpretations: [Max.max, max]
strange-printer	CLUSTER-synth	failed to synthesize instance of type class
string-compression-ii	CLUSTER-appmismatch	Application type mismatch: The argument
strobogrammatic-number-ii	CLUSTER-synth	failed to synthesize instance of type class
strobogrammatic-number-iii	CLUSTER-synth	failed to synthesize instance of type class
subarrays-with-k-different-integers	CLUSTER-flow	invalid reassignment, value has type
substring-with-largest-variance	CLUSTER-appmismatch	Application type mismatch: The argument
substring-xor-queries	CLUSTER-appmismatch	Application type mismatch: The argument
successful-pairs-of-spells-and-potions	CLUSTER-appmismatch	Application type mismatch: The argument
sum-of-nodes-with-even-valued-grandparent	CLUSTER-appmismatch	Application type mismatch: The argument
sum-of-prefix-scores-of-strings	CLUSTER-flow	Type mismatch
super-palindromes	CLUSTER-misc	don't know how to synthesize implicit argument `α`
swim-in-rising-water	C1-closure-recursion	Unknown identifier `find`
the-earliest-and-latest-rounds-where-players-compete	CLUSTER-appmismatch	Application type mismatch: The argument
the-earliest-moment-when-everyone-become-friends	C1-closure-recursion	Unknown identifier `find`
the-latest-time-to-catch-a-bus	CLUSTER-misc	Unknown identifier `c`
the-maze-ii	CLUSTER-appmismatch	Application type mismatch: The argument
the-maze-iii	CLUSTER-synth	failed to synthesize instance of type class
the-most-similar-path-in-a-graph	CLUSTER-flow	Type mismatch
the-number-of-beautiful-subsets	CLUSTER-synth	typeclass instance problem is stuck
the-number-of-good-subsets	CLUSTER-synth	failed to synthesize instance of type class
the-number-of-weak-characters-in-the-game	CLUSTER-appmismatch	Application type mismatch: The argument
time-to-cross-a-bridge	CLUSTER-appmismatch	Application type mismatch: The argument
transform-to-chessboard	CLUSTER-appmismatch	Application type mismatch: The argument
tree-of-coprimes	CLUSTER-flow	Invalid match expression: The type of pattern variable 'stks' contains metavariables:
two-best-non-overlapping-events	CLUSTER-appmismatch	Application type mismatch: The argument
two-city-scheduling	CLUSTER-appmismatch	Application type mismatch: The argument
two-sum-bsts	CLUSTER-synth	typeclass instance problem is stuck
two-sum-ii-input-array-is-sorted	T7-kwarg-in-spine	Invalid argument name `lo` for function `bisect.pyBisectLeft`
two-sum-less-than-k	T7-kwarg-in-spine	Invalid argument name `lo` for function `bisect.pyBisectLeft`
ugly-number-iii	T8-method-optional-args	Function expected at
uncommon-words-from-two-sentences	CLUSTER-synth	failed to synthesize instance of type class
unique-paths-iii	CLUSTER-appmismatch	Application type mismatch: The argument
valid-perfect-square	T7-kwarg-in-spine	Invalid argument name `key` for function `bisect.pyBisectLeft`
valid-square	CLUSTER-appmismatch	Application type mismatch: The argument
valid-triangle-number	T7-kwarg-in-spine	Invalid argument name `lo` for function `bisect.pyBisectLeft`
validate-binary-tree-nodes	C1-closure-recursion	Unknown identifier `find`
vowel-spellchecker	CLUSTER-synth	failed to synthesize instance of type class
walking-robot-simulation	CLUSTER-appmismatch	Application type mismatch: The argument
word-abbreviation	CLUSTER-flow	Type mismatch
word-break-ii	CLUSTER-appmismatch	Application type mismatch: The argument
word-ladder	CLUSTER-flow	invalid reassignment, value has type
word-pattern-ii	CLUSTER-appmismatch	Application type mismatch: The argument
word-search-ii	CLUSTER-flow	invalid reassignment, value has type
xor-operation-in-an-array	CLUSTER-synth	failed to synthesize instance of type class
xor-queries-of-a-subarray	CLUSTER-appmismatch	Application type mismatch: The argument
zigzag-conversion	CLUSTER-synth	failed to synthesize instance of type class
